GUID e728cd1a63e94f89be89cffbdac69d49


Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 2504

Size_X 4
Size_Y 2
Size_Z 0.475
Size2_Z 0.625

Sight 2505
Magazine 2501


Ammo_Min 20
Ammo_Max 20

Safety
Semi
Auto

Caliber 2500

Hook_Sight
Hook_Tactical
Hook_Grip
Hook_Barrel

Range 275
Firerate 3
Action Trigger

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 1
Player_Skull_Multiplier 2.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 33
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 40
Resource_Damage 25
Object_Damage 20

Durability 0.5

Spread_Aim 0.3
Spread_Angle_Degrees 4

Recoil_Min_X -3
Recoil_Min_Y 5
Recoil_Max_X 7
Recoil_Max_Y 4

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.005
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.01

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Tool 76
Blueprint_0_Level 1
Blueprint_0_Skill Repair
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 2504
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 67
Blueprint_1_Output_0_Amount 4
Blueprint_1_Build 27
Exclude_From_Master_Bundle
