GUID 6bb9c49aa9bc43949e3c4118c7de5020
Type Magazine
Rarity Uncommon
ID 11688

Size_X 1
Size_Y 1
Size_Z 0.2

Amount 2
Count_Min 2
Count_Max 2

Calibers 1
Caliber_0 11011

Player_Damage 70

Zombie_Damage 99

Animal_Damage 70

Tracer 49
Spread 0.25

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 11683
Blueprint_0_Build 30

Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 11688
Blueprint_1_Build 30

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 11683
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Products 8
Blueprint_2_Build 30

Delete_Empty

Exclude_From_Master_Bundle
