GUID 1cd90cd47f7f41d58db9ec352a81b3b7
Type Vest
Rarity Legendary
Useable Clothing
ID 10720

Size_X 3
Size_Y 2
Size_Z 0.7

Width 5
Height 4

Armor 0.40

Movement_Speed_Multiplier 0.97

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5681
Blueprint_0_Product 67
Blueprint_0_Products 10
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 67
Blueprint_1_Supply_0_Amount 15
Blueprint_1_Supply_0_ID 5719
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Tool 5763
Blueprint_1_Level 1
Blueprint_1_Skill Repair
Blueprint_1_Build 32
