GUID 7f6f8863ed3748c48c65e5cc1dfdbbc8
Type Barricade
Useable Barricade
Build Door
ID 48462

Size_X 1
Size_Y 1
Size_Z 0.45

Health 10000
Range 6
Radius 0.0
Offset 1.25

Locked

Explosion 36

Armor_Tier High
Proof_Explosion
Allow_Placement_Inside_Clip_Volumes true
Bypass_Claim
Can_Be_Damaged false
Unsalvageable

Has_Clip_Prefab false
Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
Should_Drop_On_Death false
PlacementPreviewPrefab Barricades/Door/Preview.prefab
