GUID fa9b61ad38184eb6ad82e27fbb7ee556
Type Barricade
Useable Barricade
Build Sign_Wall
ID 48472

Size_X 1
Size_Y 1
Size_Z 0.43

Health 10000
Range 6
Radius 0.0
Offset 0.15

Explosion 36

Locked

Armor_Tier High
Proof_Explosion
Allow_Placement_Inside_Clip_Volumes true
Bypass_Claim
Can_Be_Damaged false
Unsalvageable

Should_Close_When_Outside_Range true
Has_Clip_Prefab false
Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
Should_Drop_On_Death false
PlacementAudioClip Barricades/Generator/Use.mp3
