GUID 5c3e5a5b0fd84f12bfba5ecc10db2d04
Type Spawn
ID 60001

Roots 5
Root_0_Spawn_ID 395
Root_0_Weight 150
Root_1_Spawn_ID 467
Root_1_Weight 150
Root_2_Spawn_ID 280
Root_2_Weight 150
Root_3_Spawn_ID 576
Root_3_Weight 150
Root_4_Spawn_ID 692
Root_4_Weight 150

Tables 59
Table_0_Asset_ID 60041
Table_0_Weight 20
Table_1_Asset_ID 60061
Table_1_Weight 20
Table_2_Asset_ID 60055
Table_2_Weight 20
Table_3_Asset_ID 60065
Table_3_Weight 20
Table_4_Asset_ID 60056
Table_4_Weight 20
Table_5_Asset_ID 60045
Table_5_Weight 20
Table_6_Asset_ID 60074
Table_6_Weight 20
Table_7_Asset_ID 60053
Table_7_Weight 20
Table_8_Asset_ID 60066
Table_8_Weight 20
Table_9_Asset_ID 60073
Table_9_Weight 20
Table_10_Asset_ID 60072
Table_10_Weight 20
Table_11_Asset_ID 60087
Table_11_Weight 20
Table_12_Asset_ID 60088
Table_12_Weight 20
Table_13_Asset_ID 60069
Table_13_Weight 20
Table_14_Asset_ID 60049
Table_14_Weight 20
Table_15_Asset_ID 60082
Table_15_Weight 20
Table_16_Asset_ID 60042
Table_16_Weight 20
Table_17_Asset_ID 60071
Table_17_Weight 20
Table_18_Asset_ID 60091
Table_18_Weight 20
Table_19_Asset_ID 60122
Table_19_Weight 20
Table_20_Asset_ID 60099
Table_20_Weight 20
Table_21_Asset_ID 60100
Table_21_Weight 20
Table_22_Asset_ID 60101
Table_22_Weight 20
Table_23_Asset_ID 60102
Table_23_Weight 20
Table_24_Asset_ID 60105
Table_24_Weight 20
Table_25_Asset_ID 60097
Table_25_Weight 20
Table_26_Asset_ID 60103
Table_26_Weight 20
Table_27_Asset_ID 60110
Table_27_Weight 20
Table_28_Asset_ID 60111
Table_28_Weight 20
Table_29_Asset_ID 60112
Table_29_Weight 20
Table_30_Asset_ID 60114
Table_30_Weight 20
Table_31_Asset_ID 60116
Table_31_Weight 20
Table_32_Asset_ID 60117
Table_32_Weight 20
Table_33_Asset_ID 60109
Table_33_Weight 20
Table_34_Asset_ID 60108
Table_34_Weight 20
Table_35_Asset_ID 60098
Table_35_Weight 15
Table_36_Asset_ID 60059
Table_36_Weight 15
Table_37_Asset_ID 60121
Table_37_Weight 15
Table_38_Asset_ID 60079
Table_38_Weight 15
Table_39_Asset_ID 60067
Table_39_Weight 15
Table_40_Asset_ID 60051
Table_40_Weight 15
Table_41_Asset_ID 60070
Table_41_Weight 15
Table_42_Asset_ID 60075
Table_42_Weight 15
Table_43_Asset_ID 60118
Table_43_Weight 15
Table_44_Asset_ID 60086
Table_44_Weight 15
Table_45_Asset_ID 60095
Table_45_Weight 15
Table_46_Asset_ID 60083
Table_46_Weight 15
Table_47_Asset_ID 60120
Table_47_Weight 15
Table_48_Asset_ID 60115
Table_48_Weight 15
Table_49_Asset_ID 60106
Table_49_Weight 15
Table_50_Asset_ID 60113
Table_50_Weight 15
Table_51_Asset_ID 60084
Table_51_Weight 15
Table_52_Asset_ID 60062
Table_52_Weight 10
Table_53_Asset_ID 60076
Table_53_Weight 10
Table_54_Asset_ID 60077
Table_54_Weight 10
Table_55_Asset_ID 60089
Table_55_Weight 10
Table_56_Asset_ID 60081
Table_56_Weight 10
Table_57_Asset_ID 60085
Table_57_Weight 3
Table_58_Asset_ID 60080
Table_58_Weight 1
