GUID 2d668b9f04444dc390e1bec8a878c306
Type Spawn
ID 60010

Roots 2
Root_0_Spawn_ID 254
Root_0_Weight 20
Root_1_Spawn_ID 204
Root_1_Weight 100

Tables 17
Table_0_Asset_ID 60041
Table_0_Weight 20
Table_1_Asset_ID 60110
Table_1_Weight 20
Table_2_Asset_ID 60109
Table_2_Weight 20
Table_3_Asset_ID 60108
Table_3_Weight 20
Table_4_Asset_ID 60105
Table_4_Weight 20
Table_5_Asset_ID 60101
Table_5_Weight 20
Table_6_Asset_ID 60111
Table_6_Weight 20
Table_7_Asset_ID 60100
Table_7_Weight 20
Table_8_Asset_ID 60082
Table_8_Weight 20
Table_9_Asset_ID 60073
Table_9_Weight 20
Table_10_Asset_ID 60069
Table_10_Weight 20
Table_11_Asset_ID 60057
Table_11_Weight 20
Table_12_Asset_ID 60091
Table_12_Weight 20
Table_13_Asset_ID 60114
Table_13_Weight 20
Table_14_Asset_ID 60086
Table_14_Weight 10
Table_15_Asset_ID 60106
Table_15_Weight 10
Table_16_Asset_ID 60067
Table_16_Weight 10
