GUID 6e6f8d4b4a104987b8e8aa025dcc872b
Type Shirt
Rarity Uncommon
Useable Clothing
ID 60155

Size_X 3
Size_Y 2
Size_Z 0.35

Armor 0.95

Width 4
Height 2

Blueprints 2
Blueprint_0_Type Apparel
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 60155
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 60010
Blueprint_0_Output_0_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 60010
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 27

Asset_Bundle_Version 3
