GUID 2db3bfbbc63547eaa989f85bc1422d2e
Type Spawn
ID 60020

Roots 1
Root_0_Spawn_ID 370
Root_0_Weight 18

Tables 15
Table_0_Asset_ID 60150
Table_0_Weight 30
Table_1_Asset_ID 60151
Table_1_Weight 30
Table_2_Asset_ID 60155
Table_2_Weight 20
Table_3_Asset_ID 60156
Table_3_Weight 20
Table_4_Asset_ID 60157
Table_4_Weight 20
Table_5_Asset_ID 60158
Table_5_Weight 20
Table_6_Asset_ID 60159
Table_6_Weight 15
Table_7_Asset_ID 60160
Table_7_Weight 15
Table_8_Asset_ID 60161
Table_8_Weight 10
Table_9_Asset_ID 60162
Table_9_Weight 10
Table_10_Asset_ID 60163
Table_10_Weight 10
Table_11_Asset_ID 60164
Table_11_Weight 10
Table_12_Asset_ID 60165
Table_12_Weight 10
Table_13_Asset_ID 60166
Table_13_Weight 10
Table_14_Asset_ID 60168
Table_14_Weight 10
