GUID e1a8e6098a674cb69a519b3b365f5bf7
Type Water
Useable Consumeable
ID 42119

Size_X 1
Size_Y 1
Size_Z 0.28

Food 15
Water 60

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 462
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 83
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 120
Blueprint_0_Level 2
Blueprint_0_Skill Cook
Blueprint_0_Build 47102

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
ConsumeAudioClip Consumables/Use_Water_05.mp3
Instantiated_Item_Name_Override 42278
