GUID 71718a43edb74bd9acae33019d93e1ef
Type Food
Useable Consumeable
ID 41115

Size_X 1
Size_Y 1
Size_Z 0.32

Health 15
Food 80

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 41114
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 42131
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 2
Blueprint_0_Skill Cook
Blueprint_0_Build 47103

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
ConsumeAudioClip Consumables/Use_Food_02.mp3
Instantiated_Item_Name_Override 41254
