GUID 73f44d269aca4ecf8767de75b8f49090
Type Food
Useable Consumeable
ID 41238

Size_X 2
Size_Y 2
Size_Z 0.45

Backward

Health 5
Food 25

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 41238
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 41239
Blueprint_0_Output_0_Amount 3
Blueprint_0_Build 27

Quest_Rewards 1
Quest_Reward_0_Type Item
Quest_Reward_0_ID 41239
Quest_Reward_0_Amount 2

Actions 1
Action_0_Type Blueprint
Action_0_Source 41238
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Cut
Action_0_Tooltip Cut into three pieces of pizza.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
ConsumeAudioClip Consumables/Use_Food_08.mp3
Instantiated_Item_Name_Override 41139
