GUID 207a233ade544168a10bbd194554cdb7
Type Food
Useable Consumeable
ID 41180

Size_X 2
Size_Y 2
Size_Z 0.45

Backward

Health 5
Food 25

Blueprints 2
Blueprint_0_Type Supply
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 1164
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 2
Blueprint_0_Output_0_ID 41181
Blueprint_0_Output_0_Amount 1
Blueprint_0_Output_1_ID 41180
Blueprint_0_Output_1_Amount 1
Blueprint_0_Build 27

Blueprint_1_Type Supply
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 41180
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 41181
Blueprint_1_Output_0_Amount 3
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 41180
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text Cut
Action_0_Tooltip Cut into three pieces of pizza.

Quest_Rewards 1
Quest_Reward_0_Type Item
Quest_Reward_0_ID 41181
Quest_Reward_0_Amount 2

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
ConsumeAudioClip Consumables/Use_Food_08.mp3
Instantiated_Item_Name_Override 41139
