GUID f89f0a44dfa24c4d861363f0b0f7782b
Type Barricade
Useable Barricade
Build Barricade
ID 47343

Size_X 1
Size_Y 1
Size_Z 0.29

Health 200
Range 4
Radius 0.01
Offset 0.06

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 285
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 40
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Small_01.mp3
Salvage_Duration_Multiplier 0.5
Has_Clip_Prefab false
