GUID 16c8b4ecf9164f3e84be0753d68a3cc1
Type Barricade
Useable Barricade
Build Barricade
ID 47341

Size_X 1
Size_Y 1
Size_Z 0.33

Health 200
Range 4
Radius 0.01
Offset 0.06

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 285
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Small_01.mp3
Salvage_Duration_Multiplier 0.5
Has_Clip_Prefab false
