GUID 5c4dd8f0bdd54ceb9ecc622f1277845f
Type Barricade
Rarity Rare
Useable Barricade
Build Cage
ID 47422

Size_X 1
Size_Y 1
Size_Z 0.28

Health 300
Range 4
Offset 0.34

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 65
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
