GUID b83b418a9de44896a61c62befc670a11
Type Generator
Rarity Rare
Useable Barricade
Build Generator
ID 47142

Size_X 3
Size_Y 3
Size_Z 0.45

Health 600
Range 5
Radius 1
Offset 16.2

Capacity 20000
Wirerange 64.0
Burn 10

Explosion 19

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 5
Blueprint_0_Supply_0_ID 1230
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 61
Blueprint_0_Supply_1_Amount 6
Blueprint_0_Supply_2_ID 64
Blueprint_0_Supply_2_Amount 2
Blueprint_0_Supply_3_ID 74
Blueprint_0_Supply_3_Amount 4
Blueprint_0_Supply_4_ID 71
Blueprint_0_Supply_4_Amount 2
Blueprint_0_Tool 138
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_01.mp3
Salvage_Duration_Multiplier 2
Has_Clip_Prefab false
