GUID 1ced5dcb7215494291bb4a97b8d16e77
Type Storage
Rarity Epic
Useable Barricade
Build Storage_Wall
ID 47145

Size_X 2
Size_Y 2
Size_Z 0.4

Health 600
Range 4
Offset 0.245

Storage_X 5
Storage_Y 3
Display
Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 1227
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
