GUID 1d69cc2cb84b4628b5da1c5f72ab0310
Type Barricade
Rarity Rare
Useable Barricade
Build Campfire
ID 47275

Size_X 1
Size_Y 1
Size_Z 0.26

Health 200
Range 4
Radius 0.03
Offset 0.4

Explosion 28

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 42191
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 72
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Small_01.mp3
Has_Clip_Prefab false
