GUID 979d3ad7736f472b8f310b3c7ac3c111
Type Barricade
Rarity Rare
Useable Barricade
Build Spot
ID 47198

Size_X 2
Size_Y 1
Size_Z 0.23

Health 300
Range 4
Radius 0.01
Offset 3.6

Explosion 36

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 65
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
PlacementPreviewPrefab Furniture/Light_Ceiling_Fluorescent/Preview.prefab
