GUID e0a59189c73b4c6fb13789e82546ba86
Type Barricade
Rarity Rare
Useable Barricade
Build Spot
ID 47400

Size_X 2
Size_Y 3
Size_Z 0.56

Health 500
Range 5
Radius 0.5
Offset 2.125

Explosion 36

Blueprints 2
Blueprint_0_Type Utilities
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 1222
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 8
Blueprint_0_Tool 76
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Blueprint_1_Type Utilities
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 47400
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 47401
Blueprint_1_Output_0_Amount 1
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47400
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text Change Normal Light
Action_0_Tooltip Change to normal light.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_02.mp3
Has_Clip_Prefab false
