GUID ff142039944f49088a4a1fba421ec4b6
Type Barricade
Rarity Common
Useable Barricade
Build Campfire
ID 41216

Size_X 2
Size_Y 2
Size_Z 0.34

Health 300
Range 4
Radius 0.01
Offset 0.14

Explosion 36

Blueprints 2
Blueprint_0_Type Supply
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 41213
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_0_Critical
Blueprint_0_Supply_1_ID 66
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Supply
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 41216
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 41215
Blueprint_1_Output_0_Amount 1
Blueprint_1_Output_1_ID 41217
Blueprint_1_Output_1_Amount 1
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 41216
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text Take A Piece
Action_0_Tooltip Take a piece of pizza.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
Bypass_Pickup_Ownership true
Salvage_Duration_Multiplier 0.2
Has_Clip_Prefab false
