GUID 14e9f912c8c242fcbadf96454b68b43c
Type Barricade
Rarity Epic
Useable Barricade
Build Hatch
ID 47441

Size_X 2
Size_Y 2
Size_Z 0.44

Health 500
Range 5
Radius 0.01
Offset 0

Locked

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 47441
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 47440
Blueprint_0_Output_0_Amount 1
Blueprint_0_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 47441
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Change to Right
Action_0_Tooltip Change to a right-opening door.

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
Allow_Collision_While_Animating true
Has_Clip_Prefab false
PlacementPreviewPrefab Furniture/Refrigerator_White_Door_L/Preview.prefab
Bundle_Override_Path Furniture/Refrigerator_Black_Door_L
