GUID 8e6fbff2b32041318c0e700458a6ac37
Type Barricade
Useable Barricade
Build Barricade
ID 47351

Size_X 1
Size_Y 1
Size_Z 0.37

Health 300
Range 4
Radius 0.01
Offset 1

Explosion 36

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 68
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 285
Blueprint_0_Supply_1_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Level 2
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Medium_02.mp3
Salvage_Duration_Multiplier 0
Has_Clip_Prefab false
