GUID fbd39992fca74c4989c52b83f0e09844
Type Barricade
Useable Barricade
Build Barricade
ID 47313

Size_X 2
Size_Y 1
Size_Z 0.25

Health 200
Range 4
Radius 0.3
Offset 0.75

Explosion 28

Blueprints 1
Blueprint_0_Type Furniture
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 62
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Supply_1_ID 38
Blueprint_0_Supply_1_Amount 4
Blueprint_0_Supply_2_ID 71
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 138
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 47101

Use_Auto_Icon_Measurements false
Procedurally_Animate_Inertia false
PlacementAudioClip Furniture/Placement_Medium_01.mp3
Has_Clip_Prefab false
