GUID f89825d1e6a94f43a70ec0890f83d9b6


Type Large

Has_Clip_Prefab False

ID 59945

Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Bool
Interactability_Condition_0_ID 59066
Interactability_Condition_0_Value True
Interactability_Condition_0_Logic Equal

Interactability Quest
Interactability_Rewards 1
Interactability_Reward_0_Type Teleport
Interactability_Reward_0_Spawnpoint AG18_1

Master_Bundle_Override loco_curated_objects.masterbundle
Bundle_Override_Path /Objects/Medium/PS_Manhole_0
