GUID 6982d7ad70aa4e7c9b03254a0781851d

Type Medium

Has_Clip_Prefab False

ID 60124

Interactability_Rewards 2
Interactability_Reward_0_Type Item
Interactability_Reward_0_ID 60021
Interactability_Reward_0_Amount 1
Interactability_Reward_0_Origin World

Interactability_Reward_1_Type Item
Interactability_Reward_1_ID 60022
Interactability_Reward_1_Amount 1
Interactability_Reward_1_Origin World

Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 59725
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset

Interactability Quest
Interactability_Effect 7

Exclude_From_Level_Batching true
