GUID 64e9cf7d0b37401698910706e8dfa548
Type Large
ID 51000

Interactability Quest
Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Bool
Interactability_Condition_0_ID 52006
Interactability_Condition_0_Value True
Interactability_Condition_0_Logic Equal

Interactability_Effect 7
Interactability_Rewards 6
Interactability_Reward_0_Type Teleport
Interactability_Reward_0_Spawnpoint Facility_Cutscene
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 54010
Interactability_Reward_1_Value True
Interactability_Reward_2_Type Cutscene_Mode
Interactability_Reward_2_Value True
Interactability_Reward_3_Type Teleport
Interactability_Reward_3_Spawnpoint Safezone
Interactability_Reward_3_GrantDelaySeconds 6.03
Interactability_Reward_4_Type Flag_Bool
Interactability_Reward_4_ID 54010
Interactability_Reward_4_Value False
Interactability_Reward_4_GrantDelaySeconds 6.5
Interactability_Reward_5_Type Cutscene_Mode
Interactability_Reward_5_Value False
Interactability_Reward_5_GrantDelaySeconds 6.03
Has_Clip_Prefab false
LOD Mesh

Master_Bundle_Override loco_curated_objects.masterbundle
Bundle_Override_Path Escalation/Objects/Large/Access_Hatch
