GUID b840de50489140de967b3b2b0c4d0ab1
Type Medium
ID 3918

Asset_Bundle_Version 2

Conditions 2
Condition_0_Type Flag_Short
Condition_0_ID 3490
Condition_0_Value 1
Condition_0_Logic Equal
Condition_1_Type Flag_Short
Condition_1_ID 3493
Condition_1_Value 0
Condition_1_Logic Equal

Interactability Quest
Interactability_Effect 27

Interactability_Rewards 3

//Add structure points to total
Interactability_Reward_0_Type Flag_Math
Interactability_Reward_0_A_ID 3488
Interactability_Reward_0_B_ID 3487
Interactability_Reward_0_Operation ADDITION
//Add cost points to total
Interactability_Reward_1_Type Flag_Math
Interactability_Reward_1_A_ID 3489
Interactability_Reward_1_B_ID 3486
Interactability_Reward_1_Operation ADDITION
//Enable Blueprint
Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 3493
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Assign
