GUID 80418a0da9694e5a8fbaf35d6032b12f
Type Small
ID 3900

//Dinner Condition
Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 3435
Condition_0_Value 3
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7

Interactability_Rewards 7

//Set Selected Menu Option == Option #1
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3435
Interactability_Reward_0_Value 4
Interactability_Reward_0_Modification Assign


//Redo Calculations

//Update Material Cost Formula, Subtract Current Value, then add new one
//Meal Cost -= Previous Cost
Interactability_Reward_1_Type Flag_Math
Interactability_Reward_1_A_ID 3430
Interactability_Reward_1_B_ID 3442
Interactability_Reward_1_Operation Subtraction

//Meal Cost += Option Cost
Interactability_Reward_2_Type Flag_Math
Interactability_Reward_2_A_ID 3430
Interactability_Reward_2_B_ID 3445
Interactability_Reward_2_Operation Addition

//Update Nutrients Value Formula, Subtract Current Value, then add new one
//Meal Nutrients -= Previous Nutrients
Interactability_Reward_3_Type Flag_Math
Interactability_Reward_3_A_ID 3431
Interactability_Reward_3_B_ID 3443
Interactability_Reward_3_Operation Subtraction

//Meal Nutrients += Option Nutrients
Interactability_Reward_4_Type Flag_Math
Interactability_Reward_4_A_ID 3431
Interactability_Reward_4_B_ID 3446
Interactability_Reward_4_Operation Addition

//Update Morale Formula, Subtract Current Value, then add new one
//Meal Morale -= Previous Morale
Interactability_Reward_5_Type Flag_Math
Interactability_Reward_5_A_ID 3432
Interactability_Reward_5_B_ID 3444
Interactability_Reward_5_Operation Subtraction

//Meal Morale += Option Morale
Interactability_Reward_6_Type Flag_Math
Interactability_Reward_6_A_ID 3432
Interactability_Reward_6_B_ID 3447
Interactability_Reward_6_Operation Addition
