GUID 1aa96864b0a14814a9640015a65c3bf5
Type Small
ID 3745

Asset_Bundle_Version 2

Conditions 3
Condition_0_Type Flag_Bool
Condition_0_ID 3033
Condition_0_Value True
Condition_0_Logic Equal
//Are a Lumberjack
Condition_1_Type Flag_Short
Condition_1_ID 3001
Condition_1_Value 6
Condition_1_Logic Greater_Than_Or_Equal_To
//Are a Worker
Condition_2_Type Flag_Short
Condition_2_ID 3001
Condition_2_Value 7
Condition_2_Logic Less_Than_Or_Equal_To

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2

//Not Carrying machinery
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 3033
Interactability_Reward_0_Value False

//Increase placed spare parts
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 3169
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
