GUID 7b5cdca1c60144d89fd00fed13815374
Type Small
ID 3660

Asset_Bundle_Version 2

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 3052
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Effect 7
//Quest Active
Interactability_Conditions 1
Interactability_Condition_0_Type Quest
Interactability_Condition_0_ID 3045
Interactability_Condition_0_Status Active
Interactability_Condition_0_Logic Equal
Interactability_Condition_0_Allow_Unset
Interactability_Rewards 2

//Picked up
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 3052
Interactability_Reward_0_Value True

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 3048
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
