GUID 9875c4d58f434b62884a716a2c518867
Type Medium
ID 3951

Asset_Bundle_Version 2

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 3592
Condition_0_Value True
Condition_0_Logic Equal
Condition_1_Type Flag_Short
Condition_1_ID 3593
Condition_1_Value 0
Condition_1_Logic Equal


Interactability Quest
Interactability_Effect 61

Interactability_Conditions 6
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 67
Interactability_Condition_0_Amount 12
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To
Interactability_Condition_0_Reset
Interactability_Condition_1_Type Item
Interactability_Condition_1_ID 1091
Interactability_Condition_1_Amount 2
Interactability_Condition_1_Logic Greater_Than_Or_Equal_To
Interactability_Condition_1_Reset
Interactability_Condition_2_Type Item
Interactability_Condition_2_ID 1092
Interactability_Condition_2_Amount 6
Interactability_Condition_2_Logic Greater_Than_Or_Equal_To
Interactability_Condition_2_Reset
Interactability_Condition_3_Type Item
Interactability_Condition_3_ID 68
Interactability_Condition_3_Amount 2
Interactability_Condition_3_Logic Greater_Than_Or_Equal_To
Interactability_Condition_3_Reset
Interactability_Condition_4_Type Item
Interactability_Condition_4_ID 28
Interactability_Condition_4_Amount 2
Interactability_Condition_4_Logic Greater_Than_Or_Equal_To
Interactability_Condition_4_Reset
Interactability_Condition_5_Type Item
Interactability_Condition_5_ID 76
Interactability_Condition_5_Amount 1
Interactability_Condition_5_Logic Greater_Than_Or_Equal_To

Interactability_Rewards 1

//Build Body
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3593
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Assign
