GUID 683b19be9a314dc1aa1dc102eb17d90f
Type Small
ID 3879

//Using Disinfectant
Conditions 2
Condition_0_Type Flag_Short
Condition_0_ID 3407
Condition_0_Value 2
Condition_0_Logic Equal
//Wound is Unclean
Condition_1_Type Flag_Short
Condition_1_ID 3411
Condition_1_Value 3
Condition_1_Logic Less_Than

Interactability Quest
Interactability_Effect 7

Interactability_Conditions 1
//Dude is Alive
Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 3403
Interactability_Condition_0_Logic Greater_Than
Interactability_Condition_0_Value 70

Interactability_Rewards 6

//Make Wound Clean
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 3411
Interactability_Reward_0_Value 3
Interactability_Reward_0_Modification Assign

//Set Base Blood Loss Amount
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 3405
Interactability_Reward_1_Value 4
Interactability_Reward_1_Modification Assign

//Do Blood Loss Amount Math, Adding Location
Interactability_Reward_2_Type Flag_Math
Interactability_Reward_2_A_ID 3405
Interactability_Reward_2_B_ID 3406
Interactability_Reward_2_Operation Addition

//Do Blood Loss Amount Math, Multiply by Severity
Interactability_Reward_3_Type Flag_Math
Interactability_Reward_3_A_ID 3405
Interactability_Reward_3_B_ID 3402
Interactability_Reward_3_Operation Multiplication

//Do Blood Loss Amount Math, Subtract Disinfecting Modifier
Interactability_Reward_4_Type Flag_Math
Interactability_Reward_4_A_ID 3405
Interactability_Reward_4_B_ID 3410
Interactability_Reward_4_Operation Subtraction

//Wound has been treated
Interactability_Reward_5_Type Flag_Bool
Interactability_Reward_5_ID 3418
Interactability_Reward_5_Value True

