GUID cefa9e25b97646e09029ca38a6a14648
Type Medium
ID 4580

Interactability Quest
Interactability_Effect 6
Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 2201
Interactability_Condition_0_Value 3
Interactability_Condition_0_Logic Equal
Interactability_Rewards 3
Interactability_Reward_0_Type Quest
Interactability_Reward_0_ID 241
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 242
Interactability_Reward_1_Value 0
Interactability_Reward_1_Modification Assign
Interactability_Reward_2_Type Teleport
Interactability_Reward_2_Spawnpoint 2200

Snowshoe
Asset_Bundle_Version 2
