GUID 14234eae95b14d799375c42efd2d8ab2
Type Small
ID 15921

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 15901
Condition_0_Value False
Condition_0_Logic Equal

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 15901
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 15401
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment
