GUID 02190d90c6824b28bb6a1a6b7ebeb907
Type Medium

Has_Clip_Prefab False
ID 47411

Rubble Destroy
Rubble_Reset 1200
Rubble_Health 25
Rubble_Effect 21521

Rubble_Reward_ID 22321
Rubble_Rewards_Min 1
Rubble_Rewards_Max 1
Rubble_Reward_Probability 0.75

Interactability Quest

Interactability_Conditions 2

Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 21632
Interactability_Condition_0_Value 0
Interactability_Condition_0_Logic Equal
Interactability_Condition_0_Allow_Unset

Interactability_Condition_1_Type Item
Interactability_Condition_1_ID 22277
Interactability_Condition_1_Amount 1
Interactability_Condition_1_Logic Greater_Than_Or_Equal_To
Interactability_Condition_1_Reset

Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 21632
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Assign

Interactability_Reward_1_Type  Flag_Short
Interactability_Reward_1_ID 21632
Interactability_Reward_1_Value 0
Interactability_Reward_1_Modification Assign
Interactability_Reward_1_GrantDelaySeconds 38
Interactability_Reward_1_GrantDelayApplyWhenInterrupted True

Interactability_Effect 21680

Interactability_Hint Custom
