GUID dd940d7dc24f41f6a03827996424a475
Type Small
Has_Clip_Prefab false

Conditions 2
Condition_0_Type Quest 
Condition_0_ID 37033
Condition_0_Status Active
Condition_0_Logic Equal
Condition_1_Type Flag_Bool 
Condition_1_ID 39182
Condition_1_Value false
Condition_1_Logic Equal
Condition_1_Allow_Unset

Interactability Quest
Interactability_Effect 36149
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 39182
Interactability_Reward_0_Value True

Bundle_Override_Path Rio/Objects/Medium/Notes/Rio_NBM_Credentials
