GUID 2e893446aae74668bf1111ec556a88e6
Type Small
Has_Clip_Prefab false

Conditions 3
Condition_0_Type Quest
Condition_0_ID 37031
Condition_0_Status Active
Condition_0_Logic Equal
Condition_1_Type Flag_Bool
Condition_1_ID 39115
Condition_1_Value False
Condition_1_Logic Equal
Condition_1_Allow_Unset
Condition_2_Type Flag_Bool
Condition_2_ID 39106
Condition_2_Value True
Condition_2_Logic Equal

Interactability Quest
Interactability_Effect 36136
Interactability_Rewards 3
//Placed Pamphlet
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 39115
Interactability_Reward_0_Value True
//Pamphlets in Hand
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 39105
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Decrement
//Pamphlets in Niterói
Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 39108
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment

Bundle_Override_Path Rio/Objects/Quests/Reaching_Out/Rio_Pamphlet_Placeable
