GUID ace33d2ffc754c419570fbe054d62ad9
Type Small
Has_Clip_Prefab false

Conditions 3
Condition_0_Type Flag_Short
Condition_0_ID 39203
Condition_0_Value -1
Condition_0_Logic Equal
Condition_1_Type Quest
Condition_1_ID 37050
Condition_1_Status None
Condition_1_Logic Not_Equal
Condition_2_Type Quest
Condition_2_ID 37050
Condition_2_Status Completed
Condition_2_Logic Not_Equal

Interactability Quest
Interactability_Effect 61
Interactability_Rewards 14
Interactability_Reward_0_Type Flag_Math
Interactability_Reward_0_A_ID 39200
Interactability_Reward_0_B_ID 39205
Interactability_Reward_0_Operation Multiplication
Interactability_Reward_1_Type Flag_Math
Interactability_Reward_1_A_ID 39202
Interactability_Reward_1_B_ID 39205
Interactability_Reward_1_Operation Multiplication
Interactability_Reward_2_Type Flag_Math
Interactability_Reward_2_A_ID 39203
Interactability_Reward_2_B_ID 39205
Interactability_Reward_2_Operation Multiplication
Interactability_Reward_3_Type Flag_Math
Interactability_Reward_3_A_ID 39204
Interactability_Reward_3_B_ID 39205
Interactability_Reward_3_Operation Multiplication

// Set counter to 0.
Interactability_Reward_4_Type Flag_Math
Interactability_Reward_4_A_ID 39207
Interactability_Reward_4_B_ID 39206
Interactability_Reward_4_Operation Assign

// Add the numbers up.
Interactability_Reward_5_Type Flag_Math
Interactability_Reward_5_A_ID 39207
Interactability_Reward_5_B_ID 39196
Interactability_Reward_5_Operation Addition
Interactability_Reward_6_Type Flag_Math
Interactability_Reward_6_A_ID 39207
Interactability_Reward_6_B_ID 39197
Interactability_Reward_6_Operation Addition
Interactability_Reward_7_Type Flag_Math
Interactability_Reward_7_A_ID 39207
Interactability_Reward_7_B_ID 39198
Interactability_Reward_7_Operation Addition
Interactability_Reward_8_Type Flag_Math
Interactability_Reward_8_A_ID 39207
Interactability_Reward_8_B_ID 39199
Interactability_Reward_8_Operation Addition
Interactability_Reward_9_Type Flag_Math
Interactability_Reward_9_A_ID 39207
Interactability_Reward_9_B_ID 39200
Interactability_Reward_9_Operation Addition
Interactability_Reward_10_Type Flag_Math
Interactability_Reward_10_A_ID 39207
Interactability_Reward_10_B_ID 39201
Interactability_Reward_10_Operation Addition
Interactability_Reward_11_Type Flag_Math
Interactability_Reward_11_A_ID 39207
Interactability_Reward_11_B_ID 39202
Interactability_Reward_11_Operation Addition
Interactability_Reward_12_Type Flag_Math
Interactability_Reward_12_A_ID 39207
Interactability_Reward_12_B_ID 39203
Interactability_Reward_12_Operation Addition
Interactability_Reward_13_Type Flag_Math
Interactability_Reward_13_A_ID 39207
Interactability_Reward_13_B_ID 39204
Interactability_Reward_13_Operation Addition

Bundle_Override_Path /Objects/Quests/Reaching_Out/Rio_Puzzle_Electric_Toggle_Off_0
