GUID ca610635af874adb9000f9f81ffd7f09
Type Shirt
Rarity Rare
Useable Clothing
ID 5554

Size_X 3
Size_Y 2
Size_Z 0.6

Width 6
Height 3

Armor 0.90

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 5554
Blueprint_0_Product 5716
Blueprint_0_Products 1
Blueprint_0_Build 32
Blueprint_1_Type Repair
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5716
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 32
Blueprint_2_Type Tool
Blueprint_2_Supplies 3
Blueprint_2_Supply_0_ID 5552
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 5716
Blueprint_2_Supply_1_Amount 2
Blueprint_2_Supply_2_ID 5724
Blueprint_2_Supply_2_Amount 1
Blueprint_2_Build 32

Exclude_From_Master_Bundle
