GUID 87c1c23c3eaa43dca0f4bcf67b07f72d
Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 5695

Size_X 5
Size_Y 2
Size_Z 0.5

Magazine 5693
Sight 5696

Hook_Tactical
Hook_Barrel

Attachment_Calibers 1
Attachment_Caliber_0 5697

Ammo_Min 4
Ammo_Max 8

Safety
Semi

Caliber 5693

Range 35
Firerate 40
Action Pump

Player_Damage 40
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 40
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 2.5

Animal_Damage 40
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 2.5

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.3

Spread_Aim 0.8
Spread_Hip 0.1

Ballistic_Steps 1

Recoil_Min_X -10
Recoil_Min_Y 35
Recoil_Max_X 10
Recoil_Max_Y 40

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 5763
Blueprint_0_Build 27

Exclude_From_Master_Bundle
