GUID 227cc4891ef2429499b591bc05cc8d00
Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 5691

Size_X 3
Size_Y 2
Size_Z 0.6

Magazine 5684
Sight 5692

Hook_Tactical

Ammo_Min 1
Ammo_Max 2

Safety
Semi
Bursts 2

Caliber 5682

Range 20
Firerate 5
Action Break

Player_Damage 50
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 60
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 60
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0.3

Spread_Aim 0.7
Spread_Hip 0.33

Ballistic_Steps 1

Recoil_Min_X -16
Recoil_Min_Y 47
Recoil_Max_X 17
Recoil_Max_Y 52

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Tool 5763
Blueprint_0_Build 27

Exclude_From_Master_Bundle
