GUID 9dd5bf4d700d46df9781b14091c8b5d5
Type Magazine
Rarity Rare
ID 5522

Size_X 1
Size_Y 2
Size_Z 0.3

Amount 20
Count_Min 10
Count_Max 20

Calibers 1
Caliber_0 5522

Tracer 48

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5531
Blueprint_0_Build 30

Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5526
Blueprint_1_Build 30

Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 5522
Blueprint_2_Build 30

Exclude_From_Master_Bundle
