GUID 6589c73497984f3d9a5a5a583c21da7b
Type Melee
Rarity Epic
Useable Melee
Slot Secondary
ID 5580

Size_X 1
Size_Y 2
Size_Z 0.55

Range 2
Strength 1.5
Weak 0.44
Strong 0.5
Stamina 15

Player_Damage 60
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 60
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 60
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 15

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5580
Blueprint_1_Product 5711
Blueprint_1_Products 2
Blueprint_1_Build 27

Exclude_From_Master_Bundle
