GUID a3afc35f668c46078f14e9608794c8f4
Rarity Uncommon
Type Melee
Useable Melee
Slot Secondary
ID 5582

Size_X 2
Size_Y 4
Size_Z 0.9

Range 2.25
Strength 1.5
Stamina 20

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 35
Resource_Damage 75
Object_Damage 35

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5582
Blueprint_1_Product 5711
Blueprint_1_Products 2
Blueprint_1_Build 27

Exclude_From_Master_Bundle
