GUID 6e79cc3eadb44b5a8899c725db347731
Type Melee
Rarity Uncommon
Useable Melee
Slot Secondary
ID 5589

Size_X 1
Size_Y 4
Size_Z 0.7

Range 2.25
Strength 1.5
Weak 0.44
Stamina 15

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 40
Object_Damage 15

Durability 0.2

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5589
Blueprint_1_Product 5711
Blueprint_1_Products 3
Blueprint_1_Build 27

Exclude_From_Master_Bundle
