GUID dcf193e20fb744da896b6504d5053ef8
Type Melee
Rarity Rare
Useable Melee
Slot Secondary
ID 5587

Size_X 2
Size_Y 5
Size_Z 1.35
	
Range 2.25
Strong 0.375
Strength 1.5
Stamina 20

Player_Damage 75
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 75
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 75
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 20
Vehicle_Damage 40
Resource_Damage 40
Object_Damage 35

Durability 0.2

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 5711
Blueprint_0_Supply_0_Amount 5
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 5587
Blueprint_1_Product 5711
Blueprint_1_Products 2
Blueprint_1_Build 27
Blueprint_2_Type Tool
Blueprint_2_Supplies 3
Blueprint_2_Supply_0_ID 5712
Blueprint_2_Supply_0_Amount 8
Blueprint_2_Supply_1_ID 5715
Blueprint_2_Supply_1_Amount 4
Blueprint_2_Supply_2_ID 5724
Blueprint_2_Supply_2_Amount 4
Blueprint_2_Build 32

Exclude_From_Master_Bundle
